CDKN1A,Association of genetic variants and gene expression levels with longevity
CDKN2B,Association of genetic variants and gene expression levels with longevity
CDKN2B-AS1,Association of genetic variants and gene expression levels with longevity
CELSR2,Association of genetic variants and gene expression levels with longevity
CEP89,Association of genetic variants and gene expression levels with longevity
CETP,Association of genetic variants and gene expression levels with longevity
CFB,Association of genetic variants and gene expression levels with longevity
CHRNA3,Association of genetic variants and gene expression levels with longevity
CHRNA4,Association of genetic variants and gene expression levels with longevity
CHRNA5,Association of genetic variants and gene expression levels with longevity
CLSTN2,Association of genetic variants and gene expression levels with longevity
CLU,Association of genetic variants and gene expression levels with longevity
COQ7,Association of genetic variants and gene expression levels with longevity
CREB1,Association of genetic variants and gene expression levels with longevity
CSMD1,Association of genetic variants and gene expression levels with longevity
CTGF,Association of genetic variants and gene expression levels with longevity
CYP19A1,Association of genetic variants and gene expression levels with longevity
CYP1B1,Association of genetic variants and gene expression levels with longevity
CYP1B1-AS1,Association of genetic variants and gene expression levels with longevity
DHFRP3,Association of genetic variants and gene expression levels with longevity
DPP4,Association of genetic variants and gene expression levels with longevity
DRD2,Association of genetic variants and gene expression levels with longevity
DRD4,Association of genetic variants and gene expression levels with longevity
DSC2,Association of genetic variants and gene expression levels with longevity
EBF1,Association of genetic variants and gene expression levels with longevity
ECE1,Association of genetic variants and gene expression levels with longevity
EGFR,Association of genetic variants and gene expression levels with longevity
ELOVL6,Association of genetic variants and gene expression levels with longevity
EPHA6,Association of genetic variants and gene expression levels with longevity
EPHX2,Association of genetic variants and gene expression levels with longevity
ERCC1,Association of genetic variants and gene expression levels with longevity
ERCC2,Association of genetic variants and gene expression levels with longevity
ESR1,Association of genetic variants and gene expression levels with longevity
EXO1,Association of genetic variants and gene expression levels with longevity
EXOC3L2,Association of genetic variants and gene expression levels with longevity
FADS1,Association of genetic variants and gene expression levels with longevity
FAM13A,Association of genetic variants and gene expression levels with longevity
TAFA5,Association of genetic variants and gene expression levels with longevity
FEN1,Association of genetic variants and gene expression levels with longevity
FN3KRP,Association of genetic variants and gene expression levels with longevity
FOXO1,Association of genetic variants and gene expression levels with longevity
FOXO3,Association of genetic variants and gene expression levels with longevity
FPGT-TNNI3K,Association of genetic variants and gene expression levels with longevity
FRK,Association of genetic variants and gene expression levels with longevity
FSHR,Association of genetic variants and gene expression levels with longevity
FSTL5,Association of genetic variants and gene expression levels with longevity
FTH1P5,Association of genetic variants and gene expression levels with longevity
FLT1,Association of genetic variants and gene expression levels with longevity
FTO,Association of genetic variants and gene expression levels with longevity
FURIN,Association of genetic variants and gene expression levels with longevity
GH1,Association of genetic variants and gene expression levels with longevity
GHR,Association of genetic variants and gene expression levels with longevity
GHRH,Association of genetic variants and gene expression levels with longevity
GHRHR,Association of genetic variants and gene expression levels with longevity
GHRL,Association of genetic variants and gene expression levels with longevity
GHSR,Association of genetic variants and gene expression levels with longevity
GLRX,Association of genetic variants and gene expression levels with longevity
GPR78,Association of genetic variants and gene expression levels with longevity
GPX1,Association of genetic variants and gene expression levels with longevity
GRHL1,Association of genetic variants and gene expression levels with longevity
GRIK2,Association of genetic variants and gene expression levels with longevity
GRN,Association of genetic variants and gene expression levels with longevity
GSR,Association of genetic variants and gene expression levels with longevity
GSS,Association of genetic variants and gene expression levels with longevity
GSTZ1,Association of genetic variants and gene expression levels with longevity
HDAC4,Association of genetic variants and gene expression levels with longevity
H2BC5,Association of genetic variants and gene expression levels with longevity
HLA-DQA1,Association of genetic variants and gene expression levels with longevity
HLA-DQB1,Association of genetic variants and gene expression levels with longevity
HLA-DRA,Association of genetic variants and gene expression levels with longevity
HLA-DRB1,Association of genetic variants and gene expression levels with longevity
ARHGAP45,Association of genetic variants and gene expression levels with longevity
HNF4A,Association of genetic variants and gene expression levels with longevity
HNF4G,Association of genetic variants and gene expression levels with longevity
HP,Association of genetic variants and gene expression levels with longevity
HPCAL1,Association of genetic variants and gene expression levels with longevity
HRAS,Association of genetic variants and gene expression levels with longevity
HSPA14,Association of genetic variants and gene expression levels with longevity
HTR3B,Association of genetic variants and gene expression levels with longevity
HTT,Association of genetic variants and gene expression levels with longevity
HYKK,Association of genetic variants and gene expression levels with longevity
ICAM1,Association of genetic variants and gene expression levels with longevity
IDE,Association of genetic variants and gene expression levels with longevity
IGF1,Association of genetic variants and gene expression levels with longevity
IGF1R,Association of genetic variants and gene expression levels with longevity
IGF2,Association of genetic variants and gene expression levels with longevity
IGF2R,Association of genetic variants and gene expression levels with longevity
IGFBP1,Association of genetic variants and gene expression levels with longevity
IGFBP2,Association of genetic variants and gene expression levels with longevity
IGFBP3,Association of genetic variants and gene expression levels with longevity
IGFBP4,Association of genetic variants and gene expression levels with longevity
IGFBP5,Association of genetic variants and gene expression levels with longevity
IGFBP6,Association of genetic variants and gene expression levels with longevity
IL12B,Association of genetic variants and gene expression levels with longevity
IL1B,Association of genetic variants and gene expression levels with longevity
IL1RN,Association of genetic variants and gene expression levels with longevity
IL6,Association of genetic variants and gene expression levels with longevity
IL6R,Association of genetic variants and gene expression levels with longevity
IMPG1,Association of genetic variants and gene expression levels with longevity
INS,Association of genetic variants and gene expression levels with longevity
INSR,Association of genetic variants and gene expression levels with longevity
INSRR,Association of genetic variants and gene expression levels with longevity
IRS1,Association of genetic variants and gene expression levels with longevity
IRS2,Association of genetic variants and gene expression levels with longevity
IRS4,Association of genetic variants and gene expression levels with longevity
JAK2,Association of genetic variants and gene expression levels with longevity
KALRN,Association of genetic variants and gene expression levels with longevity
KCNA5,Association of genetic variants and gene expression levels with longevity
KCNK3,Association of genetic variants and gene expression levels with longevity
KCNT2,Association of genetic variants and gene expression levels with longevity
KIF13B,Association of genetic variants and gene expression levels with longevity
KIR3DX1,Association of genetic variants and gene expression levels with longevity
KL,Association of genetic variants and gene expression levels with longevity
KLF6,Association of genetic variants and gene expression levels with longevity
LAMA2,Association of genetic variants and gene expression levels with longevity
LAMA5,Association of genetic variants and gene expression levels with longevity
GDF1,Association of genetic variants and gene expression levels with longevity
LDLR,Association of genetic variants and gene expression levels with longevity
LEP,Association of genetic variants and gene expression levels with longevity
LIMCH1,Association of genetic variants and gene expression levels with longevity
LMNA,Association of genetic variants and gene expression levels with longevity
LNPK,Association of genetic variants and gene expression levels with longevity
LOC105369165,Association of genetic variants and gene expression levels with longevity
LOC105377989,Association of genetic variants and gene expression levels with longevity
LOC105377992,Association of genetic variants and gene expression levels with longevity
LOC107985852,Association of genetic variants and gene expression levels with longevity
LONP1,Association of genetic variants and gene expression levels with longevity
LPA,Association of genetic variants and gene expression levels with longevity
LPL,Association of genetic variants and gene expression levels with longevity
LRRFIP1,Association of genetic variants and gene expression levels with longevity
LY6G5C,Association of genetic variants and gene expression levels with longevity
LY6G6F,Association of genetic variants and gene expression levels with longevity
MAGI3,Association of genetic variants and gene expression levels with longevity
MAP3K5,Association of genetic variants and gene expression levels with longevity
MAP3K7,Association of genetic variants and gene expression levels with longevity
MAP3K9,Association of genetic variants and gene expression levels with longevity
MAPK4,Association of genetic variants and gene expression levels with longevity
MAPK9,Association of genetic variants and gene expression levels with longevity
MBOAT1,Association of genetic variants and gene expression levels with longevity
MC2R,Association of genetic variants and gene expression levels with longevity
MIR3156-3,Association of genetic variants and gene expression levels with longevity
MLH1,Association of genetic variants and gene expression levels with longevity
MRE11,Association of genetic variants and gene expression levels with longevity
MSANTD1,Association of genetic variants and gene expression levels with longevity
MSH5,Association of genetic variants and gene expression levels with longevity
MSTN,Association of genetic variants and gene expression levels with longevity
MT-146,Association of genetic variants and gene expression levels with longevity
MT-ATP6,Association of genetic variants and gene expression levels with longevity
MT-CYB,Association of genetic variants and gene expression levels with longevity
MT-DLOOP,Association of genetic variants and gene expression levels with longevity
MT-ND4,Association of genetic variants and gene expression levels with longevity
MT-RNR2,Association of genetic variants and gene expression levels with longevity
MTHFD1,Association of genetic variants and gene expression levels with longevity
MTHFR,Association of genetic variants and gene expression levels with longevity
MTTP,Association of genetic variants and gene expression levels with longevity
MYOF,Association of genetic variants and gene expression levels with longevity
NBN,Association of genetic variants and gene expression levels with longevity
NCAM2,Association of genetic variants and gene expression levels with longevity
NECTIN2,Association of genetic variants and gene expression levels with longevity
NFATC2,Association of genetic variants and gene expression levels with longevity
NFATC3,Association of genetic variants and gene expression levels with longevity
NFKB1,Association of genetic variants and gene expression levels with longevity
NFKBIA,Association of genetic variants and gene expression levels with longevity
NLRC5,Association of genetic variants and gene expression levels with longevity
NOS1,Association of genetic variants and gene expression levels with longevity
NOS1AP,Association of genetic variants and gene expression levels with longevity
NOTCH3,Association of genetic variants and gene expression levels with longevity
NOTCH4,Association of genetic variants and gene expression levels with longevity
NPIPB8,Association of genetic variants and gene expression levels with longevity
NR3C1,Association of genetic variants and gene expression levels with longevity
NRF1,Association of genetic variants and gene expression levels with longevity
NTHL1,Association of genetic variants and gene expression levels with longevity
NHERF2,Association of genetic variants and gene expression levels with longevity
NUDT12,Association of genetic variants and gene expression levels with longevity
OLFM4,Association of genetic variants and gene expression levels with longevity
OTOL1,Association of genetic variants and gene expression levels with longevity
PAPPA,Association of genetic variants and gene expression levels with longevity
PARK7,Association of genetic variants and gene expression levels with longevity
PARP1,Association of genetic variants and gene expression levels with longevity
PARVG,Association of genetic variants and gene expression levels with longevity
PDE4B,Association of genetic variants and gene expression levels with longevity
PDK1,Association of genetic variants and gene expression levels with longevity
PDPK1,Association of genetic variants and gene expression levels with longevity
PFKM,Association of genetic variants and gene expression levels with longevity
PGGT1B,Association of genetic variants and gene expression levels with longevity
PGP,Association of genetic variants and gene expression levels with longevity
PIK3CA,Association of genetic variants and gene expression levels with longevity
PIK3CB,Association of genetic variants and gene expression levels with longevity
PIK3CG,Association of genetic variants and gene expression levels with longevity
PIK3R1,Association of genetic variants and gene expression levels with longevity
PIK3R2,Association of genetic variants and gene expression levels with longevity
PKHD1,Association of genetic variants and gene expression levels with longevity
PKN2,Association of genetic variants and gene expression levels with longevity
PLCB1,Association of genetic variants and gene expression levels with longevity
PLCB4,Association of genetic variants and gene expression levels with longevity
PLCG2,Association of genetic variants and gene expression levels with longevity
PLCH1,Association of genetic variants and gene expression levels with longevity
PMF1,Association of genetic variants and gene expression levels with longevity
POLB,Association of genetic variants and gene expression levels with longevity
POM121C,Association of genetic variants and gene expression levels with longevity
PON1,Association of genetic variants and gene expression levels with longevity
PLPP3,Association of genetic variants and gene expression levels with longevity
PPARA,Association of genetic variants and gene expression levels with longevity
PPARG,Association of genetic variants and gene expression levels with longevity
PPARGC1A,Association of genetic variants and gene expression levels with longevity
PPP1R26,Association of genetic variants and gene expression levels with longevity
PPP2R1A,Association of genetic variants and gene expression levels with longevity
PPP2R2C,Association of genetic variants and gene expression levels with longevity
PRDX3,Association of genetic variants and gene expression levels with longevity
PRKAR2A,Association of genetic variants and gene expression levels with longevity
PRKCB,Association of genetic variants and gene expression levels with longevity
PRKCD,Association of genetic variants and gene expression levels with longevity
PRKCH,Association of genetic variants and gene expression levels with longevity
PRKCI,Association of genetic variants and gene expression levels with longevity
PRKCQ,Association of genetic variants and gene expression levels with longevity
PRKD3,Association of genetic variants and gene expression levels with longevity
PROX2,Association of genetic variants and gene expression levels with longevity
PSG7,Association of genetic variants and gene expression levels with longevity
PSORS1C3,Association of genetic variants and gene expression levels with longevity
PSRC1,Association of genetic variants and gene expression levels with longevity
PTEN,Association of genetic variants and gene expression levels with longevity
PTK2,Association of genetic variants and gene expression levels with longevity
PTPN1,Association of genetic variants and gene expression levels with longevity
RAC2,Association of genetic variants and gene expression levels with longevity
RAD23B,Association of genetic variants and gene expression levels with longevity
RAD50,Association of genetic variants and gene expression levels with longevity
RAD52,Association of genetic variants and gene expression levels with longevity
RDH5,Association of genetic variants and gene expression levels with longevity
RELA,Association of genetic variants and gene expression levels with longevity
RELN,Association of genetic variants and gene expression levels with longevity
RGS7,Association of genetic variants and gene expression levels with longevity
RP1,Association of genetic variants and gene expression levels with longevity
RP1-223B1.1,Association of genetic variants and gene expression levels with longevity
RP11-149P14.1,Association of genetic variants and gene expression levels with longevity
RP11-24C3.2,Association of genetic variants and gene expression levels with longevity
RP11-65J3.3,Association of genetic variants and gene expression levels with longevity
RPA1,Association of genetic variants and gene expression levels with longevity
RPS6KB1,Association of genetic variants and gene expression levels with longevity
RPTOR,Association of genetic variants and gene expression levels with longevity
RUNX3,Association of genetic variants and gene expression levels with longevity
SDC4,Association of genetic variants and gene expression levels with longevity
SEMA6D,Association of genetic variants and gene expression levels with longevity
SERPINE1,Association of genetic variants and gene expression levels with longevity
SETD9,Association of genetic variants and gene expression levels with longevity
SH2B3,Association of genetic variants and gene expression levels with longevity
SHC1,Association of genetic variants and gene expression levels with longevity
SIAH1,Association of genetic variants and gene expression levels with longevity
SIRT1,Association of genetic variants and gene expression levels with longevity
SIRT2,Association of genetic variants and gene expression levels with longevity
SIRT3,Association of genetic variants and gene expression levels with longevity
SIRT4,Association of genetic variants and gene expression levels with longevity
SIRT5,Association of genetic variants and gene expression levels with longevity
SIRT6,Association of genetic variants and gene expression levels with longevity
SIRT7,Association of genetic variants and gene expression levels with longevity
SKIC2,Association of genetic variants and gene expression levels with longevity
SLC39A11,Association of genetic variants and gene expression levels with longevity
SLC41A1,Association of genetic variants and gene expression levels with longevity
SLC6A3,Association of genetic variants and gene expression levels with longevity
SMAD7,Association of genetic variants and gene expression levels with longevity
SNX29,Association of genetic variants and gene expression levels with longevity
SOD2,Association of genetic variants and gene expression levels with longevity
SOD3,Association of genetic variants and gene expression levels with longevity
SOX6,Association of genetic variants and gene expression levels with longevity
SPZ1,Association of genetic variants and gene expression levels with longevity
STAT3,Association of genetic variants and gene expression levels with longevity
STAT5A,Association of genetic variants and gene expression levels with longevity
STK10,Association of genetic variants and gene expression levels with longevity
STK24,Association of genetic variants and gene expression levels with longevity
SULT1A2,Association of genetic variants and gene expression levels with longevity
SVEP1,Association of genetic variants and gene expression levels with longevity
SYDE2,Association of genetic variants and gene expression levels with longevity
TAS2R16,Association of genetic variants and gene expression levels with longevity
TBX3,Association of genetic variants and gene expression levels with longevity
TCF3,Association of genetic variants and gene expression levels with longevity
TEP1,Association of genetic variants and gene expression levels with longevity
TERC,Association of genetic variants and gene expression levels with longevity
TERF1,Association of genetic variants and gene expression levels with longevity
TERF2,Association of genetic variants and gene expression levels with longevity
TERT,Association of genetic variants and gene expression levels with longevity
TFDP1,Association of genetic variants and gene expression levels with longevity
TGFA,Association of genetic variants and gene expression levels with longevity
TH,Association of genetic variants and gene expression levels with longevity
TIRAP,Association of genetic variants and gene expression levels with longevity
TMEM131L,Association of genetic variants and gene expression levels with longevity
TMEM18,Association of genetic variants and gene expression levels with longevity
TMTC2,Association of genetic variants and gene expression levels with longevity
TNF,Association of genetic variants and gene expression levels with longevity
TNKS,Association of genetic variants and gene expression levels with longevity
TNKS2,Association of genetic variants and gene expression levels with longevity
TNNI3K,Association of genetic variants and gene expression levels with longevity
TOMM40,Association of genetic variants and gene expression levels with longevity
TORC,Association of genetic variants and gene expression levels with longevity
TOX,Association of genetic variants and gene expression levels with longevity
TP53,Association of genetic variants and gene expression levels with longevity
TRAIP,Association of genetic variants and gene expression levels with longevity
TTR,Association of genetic variants and gene expression levels with longevity
TXN,Association of genetic variants and gene expression levels with longevity
TXNRD1,Association of genetic variants and gene expression levels with longevity
UCP1,Association of genetic variants and gene expression levels with longevity
UCP2,Association of genetic variants and gene expression levels with longevity
UCP3,Association of genetic variants and gene expression levels with longevity
SLC25A27,Association of genetic variants and gene expression levels with longevity
USP2-AS1,Association of genetic variants and gene expression levels with longevity
USP42,Association of genetic variants and gene expression levels with longevity
VEGFA,Association of genetic variants and gene expression levels with longevity
WRN,Association of genetic variants and gene expression levels with longevity
XRCC1,Association of genetic variants and gene expression levels with longevity
YWHAZ,Association of genetic variants and gene expression levels with longevity
ZC3HC1,Association of genetic variants and gene expression levels with longevity
ZFP69B,Association of genetic variants and gene expression levels with longevity
ZFYVE28,Association of genetic variants and gene expression levels with longevity
ZW10,Association of genetic variants and gene expression levels with longevity
CDKN1A,Age-related changes in gene expression/protein activity in humans
CELF1,Age-related changes in gene expression/protein activity in humans
CELF2,Age-related changes in gene expression/protein activity in humans
CIRBP,Age-related changes in gene expression/protein activity in humans
CPSF2,Age-related changes in gene expression/protein activity in humans
CPSF7,Age-related changes in gene expression/protein activity in humans
CSTF3,Age-related changes in gene expression/protein activity in humans
DAZAP1,Age-related changes in gene expression/protein activity in humans
DDX24,Age-related changes in gene expression/protein activity in humans
DDX42,Age-related changes in gene expression/protein activity in humans
FEN1,Age-related changes in gene expression/protein activity in humans
FOXN3,Age-related changes in gene expression/protein activity in humans
GRSF1,Age-related changes in gene expression/protein activity in humans
HNRNPA1,Age-related changes in gene expression/protein activity in humans
HNRNPC,Age-related changes in gene expression/protein activity in humans
HNRNPL,Age-related changes in gene expression/protein activity in humans
HNRNPM,Age-related changes in gene expression/protein activity in humans
KHDRBS1,Age-related changes in gene expression/protein activity in humans
MBD4,Age-related changes in gene expression/protein activity in humans
MDC1,Age-related changes in gene expression/protein activity in humans
POLI,Age-related changes in gene expression/protein activity in humans
PRPF3,Age-related changes in gene expression/protein activity in humans
PRPF31,Age-related changes in gene expression/protein activity in humans
PTBP1,Age-related changes in gene expression/protein activity in humans
RAD50,Age-related changes in gene expression/protein activity in humans
RBFOX1,Age-related changes in gene expression/protein activity in humans
RBFOX2,Age-related changes in gene expression/protein activity in humans
RBM15,Age-related changes in gene expression/protein activity in humans
RBM8A,Age-related changes in gene expression/protein activity in humans
RTCA,Age-related changes in gene expression/protein activity in humans
SCAF11,Age-related changes in gene expression/protein activity in humans
SNRNP70,Age-related changes in gene expression/protein activity in humans
SON,Age-related changes in gene expression/protein activity in humans
SRRM2,Age-related changes in gene expression/protein activity in humans
SRSF1,Age-related changes in gene expression/protein activity in humans
SRSF5,Age-related changes in gene expression/protein activity in humans
SRSF6,Age-related changes in gene expression/protein activity in humans
TARDBP,Age-related changes in gene expression/protein activity in humans
TNRC6A,Age-related changes in gene expression/protein activity in humans
TP63,Age-related changes in gene expression/protein activity in humans
U2AF1,Age-related changes in gene expression/protein activity in humans
UPF1,Age-related changes in gene expression/protein activity in humans
UPF2,Age-related changes in gene expression/protein activity in humans
WRN,Age-related changes in gene expression/protein activity in humans
,Age-related changes in gene expression/protein activity in humans
ABCD3,Age-related changes in gene expression/protein activity in humans
ABCG1,Age-related changes in gene expression/protein activity in humans
ACAA2,Age-related changes in gene expression/protein activity in humans
ACSBG1,Age-related changes in gene expression/protein activity in humans
ACTA1,Age-related changes in gene expression/protein activity in humans
ADD3,Age-related changes in gene expression/protein activity in humans
ADIRF,Age-related changes in gene expression/protein activity in humans
AGT,Age-related changes in gene expression/protein activity in humans
AHCYL1,Age-related changes in gene expression/protein activity in humans
AHCYL2,Age-related changes in gene expression/protein activity in humans
AHNAK,Age-related changes in gene expression/protein activity in humans
ALDH4A1,Age-related changes in gene expression/protein activity in humans
ALDH9A1,Age-related changes in gene expression/protein activity in humans
AMOT,Age-related changes in gene expression/protein activity in humans
AMOTL2,Age-related changes in gene expression/protein activity in humans
ANK2,Age-related changes in gene expression/protein activity in humans
ANP32B,Age-related changes in gene expression/protein activity in humans
ANXA3,Age-related changes in gene expression/protein activity in humans
ANXA5,Age-related changes in gene expression/protein activity in humans
APOD,Age-related changes in gene expression/protein activity in humans
ASCL1,Age-related changes in gene expression/protein activity in humans
ATP2A2,Age-related changes in gene expression/protein activity in humans
ATP2B2,Age-related changes in gene expression/protein activity in humans
ATP5F1A,Age-related changes in gene expression/protein activity in humans
ATP6V1A,Age-related changes in gene expression/protein activity in humans
ATP6V1G2,Age-related changes in gene expression/protein activity in humans
ATP6V1H,Age-related changes in gene expression/protein activity in humans
AZIN1,Age-related changes in gene expression/protein activity in humans
B3GALNT1,Age-related changes in gene expression/protein activity in humans
BAMBI,Age-related changes in gene expression/protein activity in humans
BBOX1,Age-related changes in gene expression/protein activity in humans
BCL11A,Age-related changes in gene expression/protein activity in humans
BCL2,Age-related changes in gene expression/protein activity in humans
BRD2,Age-related changes in gene expression/protein activity in humans
C6orf106,Age-related changes in gene expression/protein activity in humans
CA4,Age-related changes in gene expression/protein activity in humans
CACNB2,Age-related changes in gene expression/protein activity in humans
CALB1,Age-related changes in gene expression/protein activity in humans
CALB2,Age-related changes in gene expression/protein activity in humans
CALD1,Age-related changes in gene expression/protein activity in humans
CALM1,Age-related changes in gene expression/protein activity in humans
CALM3,Age-related changes in gene expression/protein activity in humans
CAMK2A,Age-related changes in gene expression/protein activity in humans
CAMK4,Age-related changes in gene expression/protein activity in humans
CAP2,Age-related changes in gene expression/protein activity in humans
CAST,Age-related changes in gene expression/protein activity in humans
CAV1,Age-related changes in gene expression/protein activity in humans
CAV2,Age-related changes in gene expression/protein activity in humans
CBS,Age-related changes in gene expression/protein activity in humans
CCKBR,Age-related changes in gene expression/protein activity in humans
CDC40,Age-related changes in gene expression/protein activity in humans
CDH22,Age-related changes in gene expression/protein activity in humans
CDK11A,Age-related changes in gene expression/protein activity in humans
CDK5R1,Age-related changes in gene expression/protein activity in humans
CFHR1,Age-related changes in gene expression/protein activity in humans
CHSY1,Age-related changes in gene expression/protein activity in humans
CLASRP,Age-related changes in gene expression/protein activity in humans
CLDN5,Age-related changes in gene expression/protein activity in humans
CLEC2B,Age-related changes in gene expression/protein activity in humans
CLIC2,Age-related changes in gene expression/protein activity in humans
CLIC4,Age-related changes in gene expression/protein activity in humans
CLK1,Age-related changes in gene expression/protein activity in humans
CLTB,Age-related changes in gene expression/protein activity in humans
CNTN1,Age-related changes in gene expression/protein activity in humans
CPNE3,Age-related changes in gene expression/protein activity in humans
CRH,Age-related changes in gene expression/protein activity in humans
CRYAB,Age-related changes in gene expression/protein activity in humans
CSRP1,Age-related changes in gene expression/protein activity in humans
CYP1B1,Age-related changes in gene expression/protein activity in humans
DDIT4,Age-related changes in gene expression/protein activity in humans
DDR1,Age-related changes in gene expression/protein activity in humans
DDX3X,Age-related changes in gene expression/protein activity in humans
DHRS3,Age-related changes in gene expression/protein activity in humans
DNASE1L1,Age-related changes in gene expression/protein activity in humans
DPYSL3,Age-related changes in gene expression/protein activity in humans
DYNC1I1,Age-related changes in gene expression/protein activity in humans
E2F4,Age-related changes in gene expression/protein activity in humans
ECM2,Age-related changes in gene expression/protein activity in humans
EFEMP1,Age-related changes in gene expression/protein activity in humans
EFS,Age-related changes in gene expression/protein activity in humans
ENSA,Age-related changes in gene expression/protein activity in humans
EP400,Age-related changes in gene expression/protein activity in humans
EPM2A,Age-related changes in gene expression/protein activity in humans
ERBB3,Age-related changes in gene expression/protein activity in humans
ETS2,Age-related changes in gene expression/protein activity in humans
EYA1,Age-related changes in gene expression/protein activity in humans
FADS1,Age-related changes in gene expression/protein activity in humans
FERMT2,Age-related changes in gene expression/protein activity in humans
FGF1,Age-related changes in gene expression/protein activity in humans
FGF12,Age-related changes in gene expression/protein activity in humans
FGF13,Age-related changes in gene expression/protein activity in humans
FGF2,Age-related changes in gene expression/protein activity in humans
FGFR2,Age-related changes in gene expression/protein activity in humans
FGFR3,Age-related changes in gene expression/protein activity in humans
FOXG1,Age-related changes in gene expression/protein activity in humans
FRMPD4,Age-related changes in gene expression/protein activity in humans
FYN,Age-related changes in gene expression/protein activity in humans
GABRB3,Age-related changes in gene expression/protein activity in humans
GABRD,Age-related changes in gene expression/protein activity in humans
GAD1,Age-related changes in gene expression/protein activity in humans
GATM,Age-related changes in gene expression/protein activity in humans
GFAP,Age-related changes in gene expression/protein activity in humans
GFRA2,Age-related changes in gene expression/protein activity in humans
GIPC1,Age-related changes in gene expression/protein activity in humans
GJA1,Age-related changes in gene expression/protein activity in humans
GNAQ,Age-related changes in gene expression/protein activity in humans
GNB5,Age-related changes in gene expression/protein activity in humans
GNE,Age-related changes in gene expression/protein activity in humans
GNG11,Age-related changes in gene expression/protein activity in humans
GNG12,Age-related changes in gene expression/protein activity in humans
GPC5,Age-related changes in gene expression/protein activity in humans
GPR137B,Age-related changes in gene expression/protein activity in humans
GPRC5B,Age-related changes in gene expression/protein activity in humans
GRIA1,Age-related changes in gene expression/protein activity in humans
GRIN2A,Age-related changes in gene expression/protein activity in humans
GSN,Age-related changes in gene expression/protein activity in humans
GUSBP1,Age-related changes in gene expression/protein activity in humans
HBB,Age-related changes in gene expression/protein activity in humans
HCCS,Age-related changes in gene expression/protein activity in humans
HCRTR2,Age-related changes in gene expression/protein activity in humans
HEBP2,Age-related changes in gene expression/protein activity in humans
HEPH,Age-related changes in gene expression/protein activity in humans
HIF1A,Age-related changes in gene expression/protein activity in humans
H2AC6,Age-related changes in gene expression/protein activity in humans
HNRNPH3,Age-related changes in gene expression/protein activity in humans
HP,Age-related changes in gene expression/protein activity in humans
HSD17B6,Age-related changes in gene expression/protein activity in humans
HSPA13,Age-related changes in gene expression/protein activity in humans
HSPA2,Age-related changes in gene expression/protein activity in humans
HSPA8,Age-related changes in gene expression/protein activity in humans
HTR2A,Age-related changes in gene expression/protein activity in humans
HTRA1,Age-related changes in gene expression/protein activity in humans
ICAM2,Age-related changes in gene expression/protein activity in humans
IFI16,Age-related changes in gene expression/protein activity in humans
IL33,Age-related changes in gene expression/protein activity in humans
INHBB,Age-related changes in gene expression/protein activity in humans
