gene,result,expression_change_percent,expression_change_log(FC),p_value,tissue,organism,sex,line,age,age_units,measurement_method,expression_evaluation_by,measurement_taken,duration,training_regimen,participants,experiment_groups_quantity,reference
PIM2,decrease,26,-0.4344028241457749,0.0491,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
PSMG3,increase,34,0.4222330006830478,0.0165,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RAB33A,increase,40,0.48542682717024166,0.0165,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPL10A,increase,49,0.5753123306874368,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPL21,increase,46,0.5459683691052926,0.0374,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPL23,increase,40,0.48542682717024166,0.0296,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPL31,increase,38,0.4646682670034443,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPL36A,increase,40,0.48542682717024166,0.047,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPL6,increase,37,0.4541758931858021,0.0165,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPLP0,increase,41,0.4956951626240688,0.0469,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPP21,increase,32,0.40053792958372886,0.0369,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPS18P9,increase,38,0.4646682670034443,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPS19,increase,43,0.5160151470036647,0.047,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
RPS27,increase,44,0.5260688116675876,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
SEC61G,increase,37,0.4541758931858021,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
SENP1,increase,29,0.36737106564852945,0.0309,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
SF3B5,increase,37,0.4541758931858021,0.0165,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
SKP2,increase,26,0.3334237337251918,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
SNHG12,increase,35,0.4329594072761063,0.047,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
SNORD14E,increase,100,1.0,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
SNORD4B,increase,74,0.7990873060740036,0.0165,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
SNRPG,increase,32,0.40053792958372886,0.0378,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
SSBP2,increase,31,0.3895668117627256,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
THYN1,increase,32,0.40053792958372886,0.0165,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
TMEM141,increase,51,0.5945485495503542,0.0213,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
TMEM223,increase,34,0.4222330006830478,0.0374,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
TPI1,increase,37,0.4541758931858021,0.0165,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
TUBB4Q,decrease,22,-0.3584539709124763,0.0385,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
UQCR10,increase,41,0.4956951626240688,0.0115,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
ZNF140,increase,27,0.34482849699744117,0.0213,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
ZNF786,increase,25,0.32192809488736235,0.0202,Blood,human,both,n/a,"18,4-19,1",years,"microarray, qRT-PCR",mRNA,48 hrs after exercise,5-10 years,8.8 ± 2.2 h/week for atlets vs nothing for control,athlete_vs_control,12+12,10.1186/s12864-016-3388-5
ABCA5,decrease,-27,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ABCA8,decrease,-14,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ABI2,increase,11,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ADH1A,decrease,-22,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ADH1B,decrease,-21,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ADPRHL2,increase,17,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
AK2,increase,27,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
AK2,increase,19,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
AKAP7,decrease,-13,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ALDH1B1,increase,17,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ARCH,increase,23,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ARHGEF6,increase,12,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ATBF1,decrease,-19,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ATM,increase,9,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ATP1B4,decrease,-27,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ATP5G1,increase,31,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ATP5G3,increase,26,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ATP5H,increase,25,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ATP5I,increase,31,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
ATP5J,increase,35,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
BRF2,increase,11,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C10orf35,increase,12,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C10orf70,decrease,-16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C14orf10,decrease,-13,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C14orf147,decrease,-20,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C14orf2,increase,24,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C1QB,increase,34,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C20orf132,increase,15,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C6orf136,increase,13,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C6orf74,increase,23,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
C9orf23,increase,16,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
CAMTA1,decrease,-8,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
CD97,decrease,-11,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
CDC14B,decrease,-33,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
CDO1,decrease,-18,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
CHCHD3,decrease,-10,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
CIRBP,decrease,-12,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
CKMT2,increase,22,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
CRIM1,decrease,-28,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
CS,increase,31,,,muscle,human,both,n/a,65-79,years,"microarray, qRT-PCR",mRNA,at the end of the experiment,26 weeks,resistance exercise 2 times a week,no,14,10.1371/journal.pone.0000465
